;;;;;;;;;;;;;;;;
NO;MATA KULIAH ;CPMK;SUB CPMK 1;SUB CPMK 2;SUB CPMK 3;SUB CPMK 4 ;SUB CPMK 5;SUB CPMK 6;SUB CPMK 7;SUB CPMK 8;SUB CPMK 9;SUB CPMK 10;SUB CPMK 11;SUB CPMK 12;SUB CPMK 13;SUB CPMK 14
;;4). Menggunakan praktik secure coding untuk mencegah kerentanan umum;;;;Melakukan secure coding dengan Menerapkan prinsip OWASP Secure Coding Practices;;;;;;;;;;
;;5). Melakukan pengujian keamanan perangkat lunak (static/dynamic testing, fuzzing, penetration testing).;;;;; Melakukan security testing dengan Melakukan pengujian SAST, DAST, dan fuzzing;;;;;;;;;
;;6). Mengimplementasikan model DEVSECOPS dalam proyek nyata.;;;;;;Menerapkan model DEVSECOPS dengan Mengadaptasi OWASP SAMM atau NIST framework ke dalam proyek tim;;;;;;;;
;;7). Menunjukkan profesionalisme, tanggung jawab, dan kolaborasi dalam tim pengembangan perangkat lunak;;;;;;;Menunjukkan etika dan profesionalisme serta Menjaga integritas dan kolaborasi selama implementasi proyeK;;;;;;;
89;ADVANCED SOFTWARE TESTING AND QUALITY ASSURANCE;1). Menjelaskan konsep dan strategi pengujian perangkat lunak tingkat lanjut serta proses QA;Menjelaskan konsep QA dan testing;;;;;;;;;;;;;
;;2).Mendesain dan mengimplementasikan berbagai jenis pengujian (unit, integration, system, acceptance);;Mendesain rencana pengujian, Membuat test plan dan test case untuk sistem modular;;;;;;;;;;;;
;;3). Menggunakan alat bantu otomatisasi pengujian seperti JUnit, Selenium, Postman, dan Jenkins. ;;;Mengimplementasikan unit testing dengan Unit dan  testing dengan Selenium, Postman, dan Jenkins.;;;;;;;;;;;
;;4). Melakukan pengujian performa, keamanan, dan reliabilitas perangkat lunak.;;;;Melakukan pengujian performa, keamanan, dan reliabilitas perangkat lunak.;;;;;;;;;;
;;5). Mengevaluasi kualitas perangkat lunak menggunakan standar ISO/IEC 25010 dan model TMMi.;;;;;Mengevaluasi kualitas perangkat lunak menggunakan standar ISO/IEC 25010 dan model TMMi.;;;;;;;;;
;;6). Menunjukkan kemampuan kolaborasi, komunikasi, dan etika profesional dalam pelaksanaan QA dan testing;;;;;;Menunjukkan kemampuan kolaborasi, komunikasi, dan etika profesional dalam pelaksanaan;;;;;;;;
90;SCALABLE SYSTEMS DESIGN;1). Menjelaskan prinsip desain sistem berskala besar dan karakteristik scalable architecture.;Menjelaskan konsep scalable systems dengan Mampu menjelaskan perbedaan antara vertical dan horizontal scaling;;;;;;;;;;;;;
;;2). Menganalisis kebutuhan sistem untuk mendukung scalability, availability, dan reliability.;;Menganalisis arsitektur sistem untuk Mampu mengidentifikasi bottleneck dan solusi skalabilitas;;;;;;;;;;;;
;;3). Mendesain arsitektur sistem yang scalable menggunakan load balancer, caching, dan replication.;;;Mendesain sistem scalable dengan Membuat diagram arsitektur sistem terdistribusi dengan load balancer dan cache;;;;;;;;;;;
;;4). Mengimplementasikan dan menguji sistem yang mampu melakukan auto-scaling di lingkungan cloud.;;;;Mengimplementasikan auto-scaling untuk Menggunakan Kubernetes, Docker, atau AWS EC2 Auto Scaling;;;;;;;;;;
;;5). Menerapkan konsep data partitioning, sharding, dan message queues untuk meningkatkan throughput sistem.;;;;;Menerapkan partitioning dan sharding sehingga Mengimplementasikan database partitioning dan message queue;;;;;;;;;
;;6). Mengevaluasi trade-off antara consistency, availability, dan partition tolerance (CAP Theorem).;;;;;;Mengevaluasi performa sistem untuk Menggunakan stress testing tools seperti JMeter atau Locust;;;;;;;;
;;7). Menunjukkan profesionalisme, tanggung jawab, dan kolaborasi dalam proyek scalable system.;;;;;;;Berkolaborasi dalam proyek scalable app dengan Menunjukkan kerja tim dan tanggung jawab profesional;;;;;;;
91;PRAKTIKUM SCALABLE SYSTEMS DESIGN;1). Menjelaskan prinsip desain sistem berskala besar dan karakteristik scalable architecture.;Menjelaskan konsep scalable systems dengan Mampu menjelaskan perbedaan antara vertical dan horizontal scaling;;;;;;;;;;;;;
;;2). Menganalisis kebutuhan sistem untuk mendukung scalability, availability, dan reliability.;;Menganalisis arsitektur sistem untuk Mampu mengidentifikasi bottleneck dan solusi skalabilitas;;;;;;;;;;;;
;;3). Mendesain arsitektur sistem yang scalable menggunakan load balancer, caching, dan replication.;;;Mendesain sistem scalable dengan Membuat diagram arsitektur sistem terdistribusi dengan load balancer dan cache;;;;;;;;;;;
;;4). Mengimplementasikan dan menguji sistem yang mampu melakukan auto-scaling di lingkungan cloud.;;;;Mengimplementasikan auto-scaling untuk Menggunakan Kubernetes, Docker, atau AWS EC2 Auto Scaling;;;;;;;;;;
;;5). Menerapkan konsep data partitioning, sharding, dan message queues untuk meningkatkan throughput sistem.;;;;;Menerapkan partitioning dan sharding sehingga Mengimplementasikan database partitioning dan message queue;;;;;;;;;
;;6). Mengevaluasi trade-off antara consistency, availability, dan partition tolerance (CAP Theorem).;;;;;;Mengevaluasi performa sistem untuk Menggunakan stress testing tools seperti JMeter atau Locust;;;;;;;;
;;7). Menunjukkan profesionalisme, tanggung jawab, dan kolaborasi dalam proyek scalable system.;;;;;;;Berkolaborasi dalam proyek scalable app dengan Menunjukkan kerja tim dan tanggung jawab profesional;;;;;;;
92;MOBILE AND CROSS-PLATFORM DEVELOPMENT;1). Menjelaskan konsep pengembangan aplikasi mobile dan framework lintas platform.;Menjelaskan konsep mobile development Mampu menjelaskan arsitektur native vs hybrid vs cross-platform;;;;;;;;;;;;;
;;2). Mendesain arsitektur aplikasi mobile dengan fokus pada modularitas, reusability, dan user experience;;Mendesain arsitektur aplikasi Mampu membuat flowchart dan struktur modular untuk mobile app;;;;;;;;;;;;
;;3). Mengimplementasikan aplikasi mobile menggunakan framework lintas platform (Flutter, React Native, dll.).;;;Mengembangkan aplikasi dengan framework Mampu membuat aplikasi dasar menggunakan Flutter atau React Native;;;;;;;;;;;
;;4). Mengintegrasikan aplikasi dengan REST API, database lokal, dan layanan cloud;;;;Mengintegrasikan API dan storageMenghubungkan aplikasi dengan REST API dan SQLite/Firebase;;;;;;;;;;
;;5). Melakukan optimasi performa, pengujian, dan debugging aplikasi mobile.;;;;;Melakukan optimasi performa Mampu menganalisis dan memperbaiki bottleneck performa aplikasi;;;;;;;;;
;;6). Menerapkan prinsip desain UI/UX yang baik dan konsisten pada aplikasi lintas platform.;;;;;;Menerapkan UI/UX design Mengimplementasikan desain antarmuka yang konsisten dan responsif;;;;;;;;
;;7). Menunjukkan kerja tim, etika profesional, dan tanggung jawab dalam proyek pengembangan aplikasi mobile.;;;;;;;Menerapkan UI/UX design Mengimplementasikan desain antarmuka yang konsisten dan responsif;;;;;;;
93;PRAKTIKUM MOBILE AND CROSS-PLATFORM DEVELOPMENT;1). Menjelaskan konsep pengembangan aplikasi mobile dan framework lintas platform.;Menjelaskan konsep mobile development Mampu menjelaskan arsitektur native vs hybrid vs cross-platform;;;;;;;;;;;;;
;;2). Mendesain arsitektur aplikasi mobile dengan fokus pada modularitas, reusability, dan user experience;;Mendesain arsitektur aplikasi Mampu membuat flowchart dan struktur modular untuk mobile app;;;;;;;;;;;;
;;3). Mengimplementasikan aplikasi mobile menggunakan framework lintas platform (Flutter, React Native, dll.).;;;Mengembangkan aplikasi dengan framework Mampu membuat aplikasi dasar menggunakan Flutter atau React Native;;;;;;;;;;;
;;4). Mengintegrasikan aplikasi dengan REST API, database lokal, dan layanan cloud;;;;Mengintegrasikan API dan storageMenghubungkan aplikasi dengan REST API dan SQLite/Firebase;;;;;;;;;;
;;5). Melakukan optimasi performa, pengujian, dan debugging aplikasi mobile.;;;;;Melakukan optimasi performa Mampu menganalisis dan memperbaiki bottleneck performa aplikasi;;;;;;;;;
;;6). Menerapkan prinsip desain UI/UX yang baik dan konsisten pada aplikasi lintas platform.;;;;;;Menerapkan UI/UX design Mengimplementasikan desain antarmuka yang konsisten dan responsif;;;;;;;;
;;7). Menunjukkan kerja tim, etika profesional, dan tanggung jawab dalam proyek pengembangan aplikasi mobile.;;;;;;;Menerapkan UI/UX design Mengimplementasikan desain antarmuka yang konsisten dan responsif;;;;;;;
94;CLOUD SECURITY ARCHITECTURE;1). Menjelaskan konsep arsitektur cloud dan prinsip dasar keamanan cloud.;Memahami dasar cloud dan model layanannya dengan Mampu menjelaskan IaaS, PaaS, SaaS dan tanggung jawab keamanan pengguna;;;;;;;;;;;;;
;;2). Mengidentifikasi ancaman dan kerentanan (vulnerability) dalam lingkungan cloud.;;Mengidentifikasi ancaman cloud untuk Menjelaskan contoh serangan cloud seperti data leakage, DDoS, dan misconfiguration;;;;;;;;;;;;
;;3). Merancang arsitektur keamanan cloud yang mencakup data, jaringan, dan aplikasi.;;;Mendesain arsitektur keamanan cloud dengan Membuat desain sistem keamanan multi-layer di AWS/Azure ;;;;;;;;;;;
;;4). Mengimplementasikan kontrol keamanan seperti IAM dan enkripsi.;;;;Mengimplementasikan kontrol keamanan untuk Mengatur IAM, firewall, dan enkripsi data di cloud platform;;;;;;;;;;
;;5). Menerapkan kebijakan keamanan, kepatuhan, dan standar cloud (ISO, NIST, CSA).;;;;;Menerapkan standar keamanan cloud dengan Menyusun kebijakan keamanan berbasis ISO;;;;;;;;;
;;6). Melakukan audit dan monitoring keamanan sistem berbasis cloud;;;;;;Melakukan audit keamanan cloud sehingga dapat Menggunakan alat seperti CloudTrail atau Security Command Center;;;;;;;;
;;7). Menunjukkan profesionalisme, etika, dan tanggung jawab dalam praktik keamanan cloud. ;;;;;;;Menunjukkan etika profesional Bekerja dalam tim;;;;;;;
95;PRAKTIKUM CLOUD SECURITY ARCHITECTURE;1). Menjelaskan konsep arsitektur cloud dan prinsip dasar keamanan cloud.;Memahami dasar cloud dan model layanannya dengan Mampu menjelaskan IaaS, PaaS, SaaS dan tanggung jawab keamanan pengguna;;;;;;;;;;;;;
;;2). Mengidentifikasi ancaman dan kerentanan (vulnerability) dalam lingkungan cloud.;;Mengidentifikasi ancaman cloud untuk Menjelaskan contoh serangan cloud seperti data leakage, DDoS, dan misconfiguration;;;;;;;;;;;;
;;3). Merancang arsitektur keamanan cloud yang mencakup data, jaringan, dan aplikasi.;;;Mendesain arsitektur keamanan cloud dengan Membuat desain sistem keamanan multi-layer di AWS/Azure ;;;;;;;;;;;
;;4). Mengimplementasikan kontrol keamanan seperti IAM dan enkripsi.;;;;Mengimplementasikan kontrol keamanan untuk Mengatur IAM, firewall, dan enkripsi data di cloud platform;;;;;;;;;;
;;5). Menerapkan kebijakan keamanan, kepatuhan, dan standar cloud (ISO, NIST, CSA).;;;;;Menerapkan standar keamanan cloud dengan Menyusun kebijakan keamanan berbasis ISO;;;;;;;;;
;;6). Melakukan audit dan monitoring keamanan sistem berbasis cloud;;;;;;Melakukan audit keamanan cloud sehingga dapat Menggunakan alat seperti CloudTrail atau Security Command Center;;;;;;;;
;;7). Menunjukkan profesionalisme, etika, dan tanggung jawab dalam praktik keamanan cloud. ;;;;;;;Menunjukkan etika profesional Bekerja dalam tim;;;;;;;
96;DIGITAL FORENSICS AND INCIDENT RESPONSE;1). Menjelaskan konsep dasar digital forensics dan siklus respons insiden.;Menjelaskan konsep digital forensics sehingga Mampu menjelaskan prinsip dasar, tujuan, dan tahapan forensik digital;;;;;;;;;;;;;
;;2). Mengidentifikasi sumber bukti digital dari berbagai perangkat dan jaringan;;Mengidentifikasi sumber bukti digital serta Menemukan artefak forensik di sistem file, jaringan, atau memori;;;;;;;;;;;;
;;3). Melakukan akuisisi, preservasi, dan analisis bukti digital sesuai prosedur forensik.;;;Melakukan akuisisi data dengan Melakukan bit-stream imaging dan menjaga keaslian data;;;;;;;;;;;
;;4). Menggunakan perangkat forensik (Autopsy, FTK Imager, Volatility, Wireshark) dalam investigasi.;;;;Melakukan analisis forensik untuk Menggunakan alat seperti Autopsy, Volatility, Wireshark untuk menganalisis kasus;;;;;;;;;;
;;5). Menyusun laporan investigasi digital dengan menjaga rantai bukti (chain of custody).;;;;;Menyusun laporan forensik dengan Membuat laporan hasil investigasi sesuai format hukum dan teknis;;;;;;;;;
;;6). Menunjukkan sikap profesional, jujur, dan beretika selama proses investigasi forensik.;;;;;;Melakukan incident response dengan Mengidentifikasi, mengisolasi, dan memulihkan sistem pasca seranga;Menunjukkan etika profesional dengan Menjaga integritas data dan kerahasiaan bukti digital;;;;;;;
97;PRAKTIKUM DIGITAL FORENSICS AND INCIDENT RESPONSE;1). Menjelaskan konsep dasar digital forensics dan siklus respons insiden.;Menjelaskan konsep digital forensics sehingga Mampu menjelaskan prinsip dasar, tujuan, dan tahapan forensik digital;;;;;;;;;;;;;
;;2). Mengidentifikasi sumber bukti digital dari berbagai perangkat dan jaringan;;Mengidentifikasi sumber bukti digital serta Menemukan artefak forensik di sistem file, jaringan, atau memori;;;;;;;;;;;;
;;3). Melakukan akuisisi, preservasi, dan analisis bukti digital sesuai prosedur forensik.;;;Melakukan akuisisi data dengan Melakukan bit-stream imaging dan menjaga keaslian data;;;;;;;;;;;
;;4). Menggunakan perangkat forensik (Autopsy, FTK Imager, Volatility, Wireshark) dalam investigasi.;;;;Melakukan analisis forensik untuk Menggunakan alat seperti Autopsy, Volatility, Wireshark untuk menganalisis kasus;;;;;;;;;;
;;5). Menyusun laporan investigasi digital dengan menjaga rantai bukti (chain of custody).;;;;;Menyusun laporan forensik dengan Membuat laporan hasil investigasi sesuai format hukum dan teknis;;;;;;;;;
;;6). Menunjukkan sikap profesional, jujur, dan beretika selama proses investigasi forensik.;;;;;;Melakukan incident response dengan Mengidentifikasi, mengisolasi, dan memulihkan sistem pasca seranga;Menunjukkan etika profesional dengan Menjaga integritas data dan kerahasiaan bukti digital;;;;;;;
98;CRYPTOGRAPHY AND SECURE COMMUNICATIONS;1). Menjelaskan konsep dasar kriptografi dan model ancaman keamanan komunikasi.;Menjelaskan konsep kriptografi dengan Mampu menjelaskan konsep enkripsi, dekripsi, kunci, dan authentication;;;;;;;;;;;;;
;;2). Menganalisis jenis-jenis algoritma kriptografi klasik dan modern.;;Membedakan jenis algoritma sehingga Menguraikan perbedaan antara kriptografi simetris, asimetris, dan hash;;;;;;;;;;;;
;;3). Mengimplementasikan algoritma enkripsi dan dekripsi menggunakan bahasa pemrograman atau tools;;;Mengimplementasikan algoritma serta Mampu membuat program sederhana untuk enkripsi/dekripsi teks;;;;;;;;;;;
;;4). Menggunakan protokol komunikasi aman seperti SSL/TLS dan VPN;;;;Menggunakan protokol aman dengan Mengonfigurasi SSL/TLS, SSH, atau VPN di lingkungan uji;;;;;;;;;;
;;5). Mengevaluasi kekuatan algoritma dan kerentanan sistem komunikasi digital.;;;;;Mengevaluasi kekuatan algoritma dengan Menganalisis hasil brute force attack dan efektivitas kunci;;;;;;;;;
;;6). Menunjukkan etika profesional dan tanggung jawab dalam menjaga keamanan data dan privasi.;;;;;;Menunjukkan etika profesional sehingga Menjaga keamanan hasil eksperimen dan tidak menyalahgunakan teknik kriptografi;;;;;;;;
99;ETHICAL HACKING AND PENETRATION TESTING II;1). Menjelaskan konsep dasar ethical hacking, penetration testing, dan peranannya dalam keamanan siber.;Memahami konsep ethical hacking dan penetration testing;;;;;;;;;;;;;
;;2). Mengidentifikasi tahapan-tahapan utama dalam proses penetration testing.;;Mengidentifikasi tahapan pentesting;;;;;;;;;;;;
;;3). Melakukan analisis kerentanan pada sistem jaringan dan aplikasi menggunakan tools keamanan. ;;;Menggunakan tools scanning dan enumeration Mampu;;;;;;;;;;;
;;4). Melakukan simulasi serangan secara terkendali dan mendokumentasikan hasil pengujian dengan benar.;;;;Melakukan eksploitasi sistem uji menggunakan Metasploit / Burp Suite;;;;;;;;;;
;;5). Menyusun laporan hasil penetration testing dan rekomendasi perbaikan sistem.;;;;;Melakukan analisis hasil pengujian;;;;;;;;;
;;6). Menunjukkan perilaku etis dan profesional dalam melaksanakan ethical hacking sesuai hukum dan standar industri;;;;;;Menyusun laporan uji keamanan;Menunjukkan etika profesional;;;;;;;
100;PRAKTIKUM ETHICAL HACKING AND PENETRATION TESTING II;1). Menjelaskan konsep dasar ethical hacking, penetration testing, dan peranannya dalam keamanan siber.;Memahami konsep ethical hacking dan penetration testing;;;;;;;;;;;;;
;;2). Mengidentifikasi tahapan-tahapan utama dalam proses penetration testing.;;Mengidentifikasi tahapan pentesting;;;;;;;;;;;;
;;3). Melakukan analisis kerentanan pada sistem jaringan dan aplikasi menggunakan tools keamanan. ;;;Menggunakan tools scanning dan enumeration Mampu;;;;;;;;;;;
;;4). Melakukan simulasi serangan secara terkendali dan mendokumentasikan hasil pengujian dengan benar.;;;;Melakukan eksploitasi sistem uji menggunakan Metasploit / Burp Suite;;;;;;;;;;
;;5). Menyusun laporan hasil penetration testing dan rekomendasi perbaikan sistem.;;;;;Melakukan analisis hasil pengujian;;;;;;;;;
;;6). Menunjukkan perilaku etis dan profesional dalam melaksanakan ethical hacking sesuai hukum dan standar industri;;;;;;Menyusun laporan uji keamanan;Menunjukkan etika profesional;;;;;;;
101;CYBER THREAT INTELLIGENCE;1). Menjelaskan konsep dasar dan pentingnya Cyber Threat Intelligence dalam keamanan siber modern.;Memahami konsep CTI dengan Mampu menjelaskan peran intelijen siber dalam strategi keamanan organisasi;;;;;;;;;;;;;
;;2). Mengidentifikasi dan mengelompokkan jenis-jenis ancaman siber (malware, phishing, APT, ransomware).;;Mengidentifikasi ancaman siber dengan Mampu mengklasifikasi ancaman berdasarkan tipe, aktor, dan dampak;;;;;;;;;;;;
;;3). Melakukan pengumpulan dan analisis data ancaman dari berbagai sumber terbuka (OSINT) dan tertutup;;;Mengumpulkan data intelijen;;;;;;;;;;;
;;4). Menggunakan alat dan platform CTI seperti MISP, OpenCTI, dan Threat Connect;;;;Menganalisis indikator ancaman;;;;;;;;;;
;;5). Menyusun laporan intelijen ancaman yang sesuai standar (STIX/TAXII, Mitre ATT&CK framework).;;;;;Menggunakan platform CTI;;;;;;;;;
;;6). Menunjukkan sikap etis, profesional, dan tanggung jawab dalam pengelolaan data sensitif dan hasil analisis.;;;;;;Menyusun laporan intelijen;Menunjukkan etika profesional;;;;;;;
102;KULIAH KERJA PROFESI - PLUS (KKP - PLUS);;;;;;;;;;;;;;;
103;CAPSTONE PROJECT;1). Mahasiswa mampu merancang proposal proyek akhir (Capstone Project);Mengidentifikasi permasalahan nyata di industri/masyarakat, Menyusun latar belakang, rumusan masalah, dan tujuan proyek dan Menentukan metodologi, ruang lingkup, dan deliverables proyek.;;;;;;;;;;;;;
;;2). Mahasiswa mampu melakukan analisis kebutuhan sistem;;Melakukan analisis kebutuhan pengguna (user requirement), requirement fungsional dan non-fungsional serta Menyusun dokumen Software Requirement Specification (SRS).;;;;;;;;;;;;
;;3). Mahasiswa mampu merancang arsitektur dan desain sistem.;;;Membuat diagram UML/DFD/ERD sesuai kebutuhan proyek, Mendesain antarmuka pengguna (UI/UX), dan Mendesain antarmuka pengguna (UI/UX);;;;;;;;;;;
;;4). Mahasiswa mampu mengimplementasikan sistem/prototipe.;;;;Menggunakan bahasa pemrograman, framework, dan tools sesuai rancangan, Mengintegrasikan modul-modul dalam sistem dan Mendokumentasikan proses implementasi.;;;;;;;;;;
;;5). Mahasiswa mampu melakukan pengujian dan evaluasi sistem.;;;;;Menyusun test plan (unit test, integration test, system test), Menggunakan tools pengujian perangkat lunak dan Mengevaluasi hasil uji dan memperbaiki sistem;;;;;;;;;
;;6). Mahasiswa mampu menyusun dokumentasi dan laporan akhir.;;;;;;Menyusun laporan akhir sesuai format akademik.;;;;;;;;
;;7). Mahasiswa mampu mempresentasikan hasil proyek secara profesional;;;;;;;Menyajikan hasil proyek dalam bentuk presentasi, demo sistem/prototipe, serta menjawab pertanyaan dari dosen penguji/ industri dengan baik;;;;;;;
;;;;;;;;;;;;;;;;
104;SEMINAR DAN USULAN SKRIPSI; ;;;;;;;;;;;;;;
105;SKRIPSI;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
